location,time,current_as_of,daily_maximum_temperature,word_forecast,weather,daily_minimum_temperature,probability_of_precipitation
BURBANK,2024-08-02T06:00:00-07:00,2024-07-31T19:14:16-07:00,91.0,"Mostly sunny, with a high near 91. South wind 5 to 10 mph. ",Mostly Sunny,,
BURBANK,2024-08-03T06:00:00-07:00,2024-07-31T19:14:16-07:00,93.0,"Sunny, with a high near 93.",Sunny,,
BURBANK,2024-08-04T06:00:00-07:00,2024-07-31T19:14:16-07:00,94.0,"Sunny, with a high near 94.",Sunny,,
BURBANK,2024-08-05T06:00:00-07:00,2024-07-31T19:14:16-07:00,94.0,"Mostly sunny, with a high near 94.",Mostly Sunny,,
BURBANK,2024-08-06T06:00:00-07:00,2024-07-31T19:14:16-07:00,94.0,"Mostly sunny, with a high near 94.",Mostly Sunny,,
BURBANK,2024-08-07T06:00:00-07:00,2024-07-31T19:14:16-07:00,93.0,"Sunny, with a high near 93.",Sunny,,
BURBANK,2024-07-31T19:00:00-07:00,2024-07-31T19:14:16-07:00,,"Mostly clear, with a low around 64. South southeast wind 5 to 10 mph. ",Mostly Clear,64.0,
BURBANK,2024-08-01T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"A 20 percent chance of showers and thunderstorms after 11pm.  Partly cloudy, with a low around 68. South southeast wind 5 to 10 mph becoming light  after midnight. ",Slight Chance T-storms,68.0,20.0
BURBANK,2024-08-02T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Partly cloudy, with a low around 68. Southwest wind 5 to 10 mph becoming light and variable  in the evening. ",Partly Cloudy,68.0,
BURBANK,2024-08-03T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Mostly clear, with a low around 68.",Mostly Clear,68.0,
BURBANK,2024-08-04T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Mostly clear, with a low around 68.",Mostly Clear,68.0,
BURBANK,2024-08-05T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Mostly clear, with a low around 69.",Mostly Clear,69.0,
BURBANK,2024-08-06T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Mostly clear, with a low around 69.",Mostly Clear,69.0,
CAMARILLO,2024-08-01T06:00:00-07:00,2024-07-31T19:14:16-07:00,79.0,"Patchy dense fog before 11am.  Otherwise, partly sunny, with a high near 79. Light west southwest wind increasing to 5 to 10 mph in the afternoon. ",Patchy Dense Fog then Mostly Sunny,,
CAMARILLO,2024-08-02T06:00:00-07:00,2024-07-31T19:14:16-07:00,82.0,"Mostly sunny, with a high near 82. Light south wind becoming west southwest 5 to 10 mph in the morning. Winds could gust as high as 15 mph. ",Mostly Sunny,,
CAMARILLO,2024-08-03T06:00:00-07:00,2024-07-31T19:14:16-07:00,83.0,"Mostly sunny, with a high near 83.",Mostly Sunny,,
CAMARILLO,2024-08-04T06:00:00-07:00,2024-07-31T19:14:16-07:00,84.0,"Patchy fog before 11am.  Otherwise, partly sunny, with a high near 84.",Patchy Fog then Sunny,,
CAMARILLO,2024-08-05T06:00:00-07:00,2024-07-31T19:14:16-07:00,84.0,"Patchy fog before 11am.  Otherwise, partly sunny, with a high near 84.",Patchy Fog then Mostly Sunny,,
CAMARILLO,2024-08-06T06:00:00-07:00,2024-07-31T19:14:16-07:00,86.0,"Patchy fog.  Otherwise, partly sunny, with a high near 86.",Patchy Fog then Mostly Sunny,,
CAMARILLO,2024-08-07T06:00:00-07:00,2024-07-31T19:14:16-07:00,85.0,"Mostly sunny, with a high near 85.",Mostly Sunny,,
CAMARILLO,2024-07-31T19:00:00-07:00,2024-07-31T19:14:16-07:00,,"Patchy dense fog after 11pm.  Otherwise, increasing clouds, with a low around 61. West southwest wind 5 to 10 mph. ",Patchy Dense Fog,61.0,
CAMARILLO,2024-08-01T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"A 20 percent chance of showers and thunderstorms after 11pm.  Partly cloudy, with a low around 64. West southwest wind 5 to 10 mph becoming light southwest  in the evening. ",Slight Chance T-storms,64.0,20.0
CAMARILLO,2024-08-02T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Partly cloudy, with a low around 64. West wind 5 to 10 mph becoming light and variable  in the evening. ",Partly Cloudy,64.0,
CAMARILLO,2024-08-03T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Partly cloudy, with a low around 64.",Partly Cloudy,64.0,
CAMARILLO,2024-08-04T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Patchy fog after 11pm.  Otherwise, mostly cloudy, with a low around 64.",Patchy Fog,64.0,
CAMARILLO,2024-08-05T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Patchy fog.  Otherwise, mostly cloudy, with a low around 65.",Patchy Fog,65.0,
CAMARILLO,2024-08-06T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Partly cloudy, with a low around 65.",Partly Cloudy,65.0,
Chino Airport,2024-08-01T06:00:00-07:00,2024-07-31T12:47:01-07:00,96.0,"Mostly sunny, with a high near 96. Light southwest wind becoming west 10 to 15 mph in the afternoon. Winds could gust as high as 25 mph. ",Mostly Sunny,,
Chino Airport,2024-08-02T06:00:00-07:00,2024-07-31T12:47:01-07:00,98.0,"Mostly sunny, with a high near 98. Light west wind increasing to 10 to 15 mph in the afternoon. Winds could gust as high as 20 mph. ",Mostly Sunny,,
Chino Airport,2024-08-03T06:00:00-07:00,2024-07-31T12:47:01-07:00,100.0,"Sunny, with a high near 100.",Sunny,,
Chino Airport,2024-08-04T06:00:00-07:00,2024-07-31T12:47:01-07:00,100.0,"Sunny, with a high near 100.",Sunny,,
Chino Airport,2024-08-05T06:00:00-07:00,2024-07-31T12:47:01-07:00,100.0,"Sunny, with a high near 100.",Sunny,,
Chino Airport,2024-08-06T06:00:00-07:00,2024-07-31T12:47:01-07:00,101.0,"Sunny, with a high near 101.",Sunny,,
Chino Airport,2024-08-07T06:00:00-07:00,2024-07-31T12:47:01-07:00,100.0,"Sunny, with a high near 100.",Sunny,,
Chino Airport,2024-07-31T19:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 61. West wind 5 to 15 mph, with gusts as high as 20 mph. ",Mostly Clear,61.0,
Chino Airport,2024-08-01T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"A slight chance of showers and thunderstorms.  Partly cloudy, with a low around 66. West wind 10 to 15 mph becoming light  after midnight. Winds could gust as high as 20 mph.  Chance of precipitation is 20%.",Slight Chance T-storms,66.0,20.0
Chino Airport,2024-08-02T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 66. Southwest wind 5 to 10 mph becoming light and variable  in the evening. ",Mostly Clear,66.0,
Chino Airport,2024-08-03T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 67.",Mostly Clear,67.0,
Chino Airport,2024-08-04T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 67.",Mostly Clear,67.0,
Chino Airport,2024-08-05T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 68.",Mostly Clear,68.0,
Chino Airport,2024-08-06T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 67.",Mostly Clear,67.0,
CORONA,2024-08-01T06:00:00-07:00,2024-07-31T12:47:01-07:00,97.0,"Mostly sunny, with a high near 97. Calm wind becoming northwest around 5 mph in the afternoon. ",Mostly Sunny,,
CORONA,2024-08-02T06:00:00-07:00,2024-07-31T12:47:01-07:00,101.0,"Mostly sunny, with a high near 101. Light and variable wind becoming west 5 to 10 mph in the afternoon. ",Mostly Sunny,,
CORONA,2024-08-03T06:00:00-07:00,2024-07-31T12:47:01-07:00,102.0,"Sunny, with a high near 102.",Sunny,,
CORONA,2024-08-04T06:00:00-07:00,2024-07-31T12:47:01-07:00,102.0,"Sunny, with a high near 102.",Sunny,,
CORONA,2024-08-05T06:00:00-07:00,2024-07-31T12:47:01-07:00,103.0,"Sunny, with a high near 103.",Sunny,,
CORONA,2024-08-06T06:00:00-07:00,2024-07-31T12:47:01-07:00,103.0,"Sunny, with a high near 103.",Sunny,,
CORONA,2024-08-07T06:00:00-07:00,2024-07-31T12:47:01-07:00,102.0,"Sunny, with a high near 102.",Sunny,,
CORONA,2024-07-31T19:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 66. North wind around 5 mph becoming calm  in the evening. ",Mostly Clear,66.0,
CORONA,2024-08-01T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"A slight chance of showers and thunderstorms.  Partly cloudy, with a low around 69. North wind around 5 mph becoming calm  in the evening.  Chance of precipitation is 20%.",Slight Chance T-storms,69.0,20.0
CORONA,2024-08-02T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 71. West wind around 5 mph becoming calm  in the evening. ",Mostly Clear,71.0,
CORONA,2024-08-03T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 71.",Mostly Clear,71.0,
CORONA,2024-08-04T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 72.",Mostly Clear,72.0,
CORONA,2024-08-05T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 73.",Mostly Clear,73.0,
CORONA,2024-08-06T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 72.",Mostly Clear,72.0,
Culver City,2024-08-01T06:00:00-07:00,2024-07-31T19:14:16-07:00,76.0,"Patchy dense fog before 11am.  Otherwise, partly sunny, with a high near 76. Southwest wind 5 to 10 mph. ",Patchy Dense Fog then Partly Sunny,,
Culver City,2024-08-02T06:00:00-07:00,2024-07-31T19:14:16-07:00,78.0,"Patchy fog before 11am.  Otherwise, cloudy through mid morning, then gradual clearing, with a high near 78. Light west southwest wind becoming southwest 5 to 10 mph in the morning. Winds could gust as high as 15 mph. ",Patchy Fog then Sunny,,
Culver City,2024-08-03T06:00:00-07:00,2024-07-31T19:14:16-07:00,78.0,"Mostly sunny, with a high near 78.",Mostly Sunny,,
Culver City,2024-08-04T06:00:00-07:00,2024-07-31T19:14:16-07:00,79.0,"Patchy fog before 11am.  Otherwise, partly sunny, with a high near 79.",Patchy Fog then Sunny,,
Culver City,2024-08-05T06:00:00-07:00,2024-07-31T19:14:16-07:00,81.0,"Partly sunny, with a high near 81.",Partly Sunny,,
Culver City,2024-08-06T06:00:00-07:00,2024-07-31T19:14:16-07:00,82.0,"Mostly sunny, with a high near 82.",Mostly Sunny,,
Culver City,2024-08-07T06:00:00-07:00,2024-07-31T19:14:16-07:00,82.0,"Mostly sunny, with a high near 82.",Mostly Sunny,,
Culver City,2024-07-31T19:00:00-07:00,2024-07-31T19:14:16-07:00,,"Patchy dense fog after 11pm.  Otherwise, mostly cloudy, with a low around 59. Southwest wind 5 to 10 mph. ",Patchy Dense Fog,59.0,
Culver City,2024-08-01T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"A 20 percent chance of showers and thunderstorms after 11pm.  Increasing clouds, with a low around 62. Southwest wind 5 to 10 mph. ",Slight Chance T-storms,62.0,20.0
Culver City,2024-08-02T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Partly cloudy, with a low around 63. West southwest wind 5 to 10 mph becoming light south  in the evening. ",Partly Cloudy,63.0,
Culver City,2024-08-03T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Partly cloudy, with a low around 65.",Partly Cloudy,65.0,
Culver City,2024-08-04T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Partly cloudy, with a low around 65.",Partly Cloudy,65.0,
Culver City,2024-08-05T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Partly cloudy, with a low around 66.",Partly Cloudy,66.0,
Culver City,2024-08-06T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Partly cloudy, with a low around 66.",Partly Cloudy,66.0,
ELSINORE,2024-08-01T06:00:00-07:00,2024-07-31T12:47:01-07:00,100.0,"Mostly sunny, with a high near 100. Calm wind becoming southwest around 5 mph in the afternoon. ",Mostly Sunny,,
ELSINORE,2024-08-02T06:00:00-07:00,2024-07-31T12:47:01-07:00,103.0,"Mostly sunny, with a high near 103. Calm wind becoming west around 5 mph in the afternoon. ",Mostly Sunny,,
ELSINORE,2024-08-03T06:00:00-07:00,2024-07-31T12:47:01-07:00,105.0,"Sunny, with a high near 105.",Sunny,,
ELSINORE,2024-08-04T06:00:00-07:00,2024-07-31T12:47:01-07:00,105.0,"Sunny, with a high near 105.",Sunny,,
ELSINORE,2024-08-05T06:00:00-07:00,2024-07-31T12:47:01-07:00,106.0,"Sunny, with a high near 106.",Sunny,,
ELSINORE,2024-08-06T06:00:00-07:00,2024-07-31T12:47:01-07:00,106.0,"Sunny, with a high near 106.",Sunny,,
ELSINORE,2024-08-07T06:00:00-07:00,2024-07-31T12:47:01-07:00,104.0,"Sunny, with a high near 104.",Sunny,,
ELSINORE,2024-07-31T19:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 66. North wind around 5 mph becoming calm  in the evening. ",Mostly Clear,66.0,
ELSINORE,2024-08-01T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"A slight chance of showers and thunderstorms.  Partly cloudy, with a low around 70. North wind around 5 mph becoming calm.  Chance of precipitation is 20%.",Slight Chance T-storms,70.0,20.0
ELSINORE,2024-08-02T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 71. West wind around 5 mph becoming calm  in the evening. ",Mostly Clear,71.0,
ELSINORE,2024-08-03T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 72.",Mostly Clear,72.0,
ELSINORE,2024-08-04T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 72.",Mostly Clear,72.0,
ELSINORE,2024-08-05T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 73.",Mostly Clear,73.0,
ELSINORE,2024-08-06T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 72.",Mostly Clear,72.0,
Fullerton Municipal,2024-08-01T06:00:00-07:00,2024-07-31T12:47:01-07:00,85.0,"Patchy fog before 11am.  Otherwise, partly sunny, with a high near 85. Light south wind becoming southwest 5 to 10 mph in the afternoon. ",Patchy Fog then Partly Sunny,,
Fullerton Municipal,2024-08-02T06:00:00-07:00,2024-07-31T12:47:01-07:00,90.0,"Mostly sunny, with a high near 90. Light southwest wind increasing to 5 to 10 mph in the afternoon. ",Mostly Sunny,,
Fullerton Municipal,2024-08-03T06:00:00-07:00,2024-07-31T12:47:01-07:00,90.0,"Sunny, with a high near 90.",Sunny,,
Fullerton Municipal,2024-08-04T06:00:00-07:00,2024-07-31T12:47:01-07:00,89.0,"Mostly sunny, with a high near 89.",Mostly Sunny,,
Fullerton Municipal,2024-08-05T06:00:00-07:00,2024-07-31T12:47:01-07:00,90.0,"Mostly sunny, with a high near 90.",Mostly Sunny,,
Fullerton Municipal,2024-08-06T06:00:00-07:00,2024-07-31T12:47:01-07:00,91.0,"Mostly sunny, with a high near 91.",Mostly Sunny,,
Fullerton Municipal,2024-08-07T06:00:00-07:00,2024-07-31T12:47:01-07:00,90.0,"Mostly sunny, with a high near 90.",Mostly Sunny,,
Fullerton Municipal,2024-07-31T19:00:00-07:00,2024-07-31T12:47:01-07:00,,"Patchy fog after 2am.  Otherwise, increasing clouds, with a low around 64. Southwest wind around 5 mph becoming calm  in the evening. ",Mostly Clear then Patchy Fog,64.0,
Fullerton Municipal,2024-08-01T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"A slight chance of showers and thunderstorms.  Partly cloudy, with a low around 67. West wind around 5 mph becoming calm  in the evening.  Chance of precipitation is 20%.",Slight Chance T-storms,67.0,20.0
Fullerton Municipal,2024-08-02T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 67. Southwest wind around 5 mph becoming calm  in the evening. ",Mostly Clear,67.0,
Fullerton Municipal,2024-08-03T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Mostly clear, with a low around 67.",Mostly Clear,67.0,
Fullerton Municipal,2024-08-04T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Partly cloudy, with a low around 67.",Partly Cloudy,67.0,
Fullerton Municipal,2024-08-05T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Partly cloudy, with a low around 69.",Partly Cloudy,69.0,
Fullerton Municipal,2024-08-06T18:00:00-07:00,2024-07-31T12:47:01-07:00,,"Partly cloudy, with a low around 69.",Partly Cloudy,69.0,
Burbank,2024-08-01T06:00:00-07:00,2024-07-31T19:14:16-07:00,89.0,"Mostly sunny, with a high near 89. South wind around 5 mph. ",Mostly Sunny,,
Burbank,2024-08-02T06:00:00-07:00,2024-07-31T19:14:16-07:00,91.0,"Mostly sunny, with a high near 91. Light south southeast wind becoming south southwest 5 to 10 mph in the afternoon. ",Mostly Sunny,,
Burbank,2024-08-03T06:00:00-07:00,2024-07-31T19:14:16-07:00,92.0,"Sunny, with a high near 92.",Sunny,,
Burbank,2024-08-04T06:00:00-07:00,2024-07-31T19:14:16-07:00,94.0,"Sunny, with a high near 94.",Sunny,,
Burbank,2024-08-05T06:00:00-07:00,2024-07-31T19:14:16-07:00,95.0,"Mostly sunny, with a high near 95.",Mostly Sunny,,
Burbank,2024-08-06T06:00:00-07:00,2024-07-31T19:14:16-07:00,96.0,"Mostly sunny and hot, with a high near 96.",Hot,,
Burbank,2024-08-07T06:00:00-07:00,2024-07-31T19:14:16-07:00,95.0,"Sunny, with a high near 95.",Sunny,,
Burbank,2024-07-31T19:00:00-07:00,2024-07-31T19:14:16-07:00,,"Mostly clear, with a low around 63. South wind around 5 mph. ",Mostly Clear,63.0,
Burbank,2024-08-01T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"A 20 percent chance of showers and thunderstorms after 11pm.  Partly cloudy, with a low around 67. South wind around 5 mph becoming calm  after midnight. ",Slight Chance T-storms,67.0,20.0
Burbank,2024-08-02T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Partly cloudy, with a low around 68. Southwest wind around 5 mph becoming calm  in the evening. ",Partly Cloudy,68.0,
Burbank,2024-08-03T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Mostly clear, with a low around 67.",Mostly Clear,67.0,
Burbank,2024-08-04T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Mostly clear, with a low around 68.",Mostly Clear,68.0,
Burbank,2024-08-05T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Mostly clear, with a low around 69.",Mostly Clear,69.0,
Burbank,2024-08-06T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Mostly clear, with a low around 69.",Mostly Clear,69.0,
Hawthorne Municipal,2024-08-01T06:00:00-07:00,2024-07-31T19:14:16-07:00,77.0,"Patchy dense fog before 11am.  Otherwise, partly sunny, with a high near 77. West southwest wind 5 to 10 mph. ",Patchy Dense Fog then Partly Sunny,,
Hawthorne Municipal,2024-08-02T06:00:00-07:00,2024-07-31T19:14:16-07:00,79.0,"Mostly sunny, with a high near 79. Light west wind becoming west southwest 10 to 15 mph in the morning. ",Mostly Sunny,,
Hawthorne Municipal,2024-08-03T06:00:00-07:00,2024-07-31T19:14:16-07:00,80.0,"Patchy fog before 11am.  Otherwise, partly sunny, with a high near 80.",Patchy Fog then Sunny,,
Hawthorne Municipal,2024-08-04T06:00:00-07:00,2024-07-31T19:14:16-07:00,81.0,"Patchy fog before 11am.  Otherwise, partly sunny, with a high near 81.",Patchy Fog then Mostly Sunny,,
Hawthorne Municipal,2024-08-05T06:00:00-07:00,2024-07-31T19:14:16-07:00,81.0,"Patchy fog before 11am.  Otherwise, partly sunny, with a high near 81.",Patchy Fog then Mostly Sunny,,
Hawthorne Municipal,2024-08-06T06:00:00-07:00,2024-07-31T19:14:16-07:00,82.0,"Partly sunny, with a high near 82.",Partly Sunny,,
Hawthorne Municipal,2024-08-07T06:00:00-07:00,2024-07-31T19:14:16-07:00,82.0,"Mostly sunny, with a high near 82.",Mostly Sunny,,
Hawthorne Municipal,2024-07-31T19:00:00-07:00,2024-07-31T19:14:16-07:00,,"Patchy dense fog after 11pm.  Otherwise, mostly cloudy, with a low around 63. West southwest wind 5 to 10 mph. ",Patchy Dense Fog,63.0,
Hawthorne Municipal,2024-08-01T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"A 20 percent chance of showers and thunderstorms after 11pm.  Mostly cloudy, with a low around 64. West southwest wind 5 to 10 mph. ",Slight Chance T-storms,64.0,20.0
Hawthorne Municipal,2024-08-02T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Partly cloudy, with a low around 65. West southwest wind 5 to 10 mph becoming light southwest  in the evening. ",Partly Cloudy,65.0,
Hawthorne Municipal,2024-08-03T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Partly cloudy, with a low around 65.",Partly Cloudy,65.0,
Hawthorne Municipal,2024-08-04T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Patchy fog after 11pm.  Otherwise, mostly cloudy, with a low around 65.",Patchy Fog,65.0,
Hawthorne Municipal,2024-08-05T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Partly cloudy, with a low around 66.",Partly Cloudy,66.0,
Hawthorne Municipal,2024-08-06T18:00:00-07:00,2024-07-31T19:14:16-07:00,,"Partly cloudy, with a low around 66.",Partly Cloudy,66.0,
IRVINE,2024-08-01T06:00:00-07:00,2024-07-31T12:47:01-07:00,84.0,"Patchy fog before 11am.  Otherwise, mostly sunny, with a high near 84. Light west wind increasing to 5 to 10 mph in the afternoon. ",Patchy Fog then Mostly Sunny,,
IRVINE,2024-08-02T06:00:00-07:00,2024-07-31T12:47:01-07:00,88.0,"Mostly sunny, with a high near 88. Light west wind increasing to 5 to 10 mph in the afternoon. ",Mostly Sunny,,
IRVINE,2024-08-03T06:00:00-07:00,2024-07-31T12:47:01-07:00,89.0,"Sunny, with a high near 89.",Sunny,,
IRVINE,2024-08-04T06:00:00-07:00,2024-07-31T12:47:01-07:00,89.0,"Mostly sunny, with a high near 89.",Mostly Sunny,,
IRVINE,2024-08-05T06:00:00-07:00,2024-07-31T12:47:01-07:00,90.0,"Mostly sunny, with a high near 90.",Mostly Sunny,,
IRVINE,2024-08-06T06:00:00-07:00,2024-07-31T12:47:01-07:00,91.0,"Mostly sunny, with a high near 91.",Mostly Sunny,,
IRVINE,2024-08-07T06:00:00-07:00,2024-07-31T12:47:01-07:00,89.0,"Partly sunny, then gradually becoming sunny, with a high near 89.",Becoming Sunny,,
IRVINE,2024-07-31T19:00:00-07:00,2024-07-31T12:47:01-07:00,,"Patchy fog after 2am.  Otherwise, increasing clouds, with a low around 62. West wind around 5 mph becoming calm  in the evening. ",Mostly Clear then Patchy Fog,62.0,
